phone_number,website,url,hosts,rooms,address,email_address,property_name
(907) 789-3772,http://Pearsonspond.com,https://www.bnbfinder.com/inn/pearsons-pond-luxury-inn-and-adventure-spa,Maryann Ray,,"4541 Sawa Cir, Juneau, AK 99801",book@pearsonspond.com,Pearson's Pond Luxury Inn and Adventure Spa
(205) 625-6045,http://www.cappscove.com,https://www.bnbfinder.com/inn/capps-cove,Noval,,"4126 County Highway 27, Oneonta, AL 35121",noval@cappscove.com,Capps Cove
(403) 721-2117,http://www.aurumlodge.com,https://www.bnbfinder.com/inn/aurum-lodge,Madeleine & Alan Ernst,6,"AB-11, Cline River, Nordegg, AB T0M 2H0",info@aurumlodge.com,Aurum Lodge
(479) 253-9111,http://www.singletonhouse.com/,https://www.bnbfinder.com/inn/11-singleton-house-bb,Barb Gavron,5,"11 Singleton St, Eureka Springs, AR 72632",info@singletonhouse.com,11 Singleton House B&B
(251) 965-7321,https://www.magnoliasprings.com/,https://www.bnbfinder.com/inn/magnolia-springs-bed-and-breakfast,David & Eric,5,"14469 Oak St, Magnolia Springs, AL 36555",info@magnoliasprings.com,Magnolia Springs Bed and Breakfast
(479) 253-7409,http://www.cliffcottage.com,https://www.bnbfinder.com/inn/cliff-cottage-inn-luxury-bb-suites-and-historic-cottages,Justin and Asheli Robins,8,"42 Armstrong, Eureka Springs, AR 72632",cliffcottage@sbcglobal.net,Cliff Cottage Inn â€“ Luxury B&B Suites and Historic Cottages
(501) 865-6060,https://www.tiffanysbedandbreakfast.com,https://www.bnbfinder.com/inn/tiffanys-bed-and-breakfast,Tiffany & Robert Bertram,3,"1632 AR-347, Bismarck, AR 71929",innkeeper@tiffanysbedandbreakfast.com,Tiffany's Bed and Breakfast
(479) 253-8659,http://www.rockcottagegardens.com,https://www.bnbfinder.com/inn/rock-cottage-gardens-bb-inn-wedding-chapel,Kathleen Pickowitz,,"10 Eugenia St, Eureka Springs, AR 72632",info@rockcottagegardens.com,Rock Cottage Gardens B&B Inn & Wedding Chapel
(501) 624-4275,http://www.1890WilliamsHouse.com,https://www.bnbfinder.com/inn/williams-house-bed-breakfast,Lynda & John,3,"420 Quapaw Ave, Hot Springs, AR 71901",info@1890williamshouse.com,Williams House Bed & Breakfast
(928) 239-7011,https://asunsetchateau.com,https://www.bnbfinder.com/inn/a-sunset-chateau,Jean Christophe Buillet,25,"665 Sunset Dr, Sedona, AZ 86336",information@asunsetchateau.com,A Sunset Chateau
(520) 578-3058,http://www.casatierratucson.com,https://www.bnbfinder.com/inn/casa-tierra-adobe-b-b-inn,Dave Malmquist,3,"11155 W Calle Pima, Tucson, AZ 85743",info@casatierratucson.com,Casa Tierra Adobe B & B Inn
(250) 593-9807,http://www.montanahillguestranch.com,https://www.bnbfinder.com/inn/montana-hill-guest-ranch,Elaine & Al dillabaugh,,"7915 Machete Lake Rd, Lone Butte, BC V0K 1X2",stay@montanahillguestranch.com,Montana Hill Guest Ranch
