phone_number,website,url,hosts,rooms,address,email_address,property_name
830-990-8408,http://www.dasgartenhaus.com/,http://theinnkeeper.com/listing/das-garten-haus/, Kevin & Lynn MacWithey,3,"604 South Washington, Fredericksburg, TX 78624",info@dasgartenhaus.com,Das Garten Haus
1-907-747-8310,http://www.sitka-alaska-lodging.com,http://theinnkeeper.com/listing/alaska-ocean-view-bed-breakfast-inn/, Carole & Bill Denkinger,3,"1101 Edgecumbe Drive, Sitka, AK 99835",info@sitka-alaska-lodging.com,Alaska Ocean View Bed & Breakfast Inn
845-496-2954,http://www.caldwellhouse.com,http://theinnkeeper.com/listing/caldwell-house-bed-and-breakfast/, Dena and John Finneran,6,"25 Orrs Mills Road, Salisbury Mills, NY 12577",john@caldwellhouse.com,Caldwell House Bed and Breakfast
802-253-7355,http://www.stoweflake.com,http://theinnkeeper.com/listing/stoweflake-mountain-resort-spa/, Baraw Family,127,"1746 Mountain Road, Stowe, VT 05762",info@stoweflake.com,Stoweflake Mountain Resort & Spa
(207) 625-8501,http://www.cornishinn.com,http://theinnkeeper.com/listing/cornish-inn/, Heidi and Richard DeCourcey,16,"2 High St, Cornish, ME 04020",innkeeper@cornishinn.com,Cornish Inn
540-464-8421,http://www.brierleyhill.com,http://theinnkeeper.com/listing/brierley-hill-bb-country-inn/, Ken and Joyce Hawkins,6,"985 Borden Road, Lexington, VA 24450",relax@brierleyhill.com,Brierley Hill B&B Country Inn
207 288-2138,http://www.ivymanor.com,http://theinnkeeper.com/listing/ivy-manor-inn-michelles-fine-dining/, Bob & Judi Stanley,9,"194 Main Street, Bar Harbor, ME 04609",info@ivymanor.com ,Ivy Manor Inn
540-377-9261,http://www.alpinehideaway.com,http://theinnkeeper.com/listing/alpine-hideaway-cottages/, Melissa & Ray Alexander,3,"8400 N Lee Hwy, Steeles Tavern, VA 24476",stay@alpinehideaway.com,Steeles Tavern Manor Bed and Breakfast
6103882013,http://www.innatwhitewingfarm.com/index.html,http://theinnkeeper.com/listing/inn-at-whitewing-farm/, Sandy & Lance Shortt,10,"370 Valley Road, West Chester, PA 19382",innkeeper@innatwhitewingfarm.com,Inn at Whitewing Farm
631-324-4081,http://www.bakerhouse1650.com,http://theinnkeeper.com/listing/the-baker-house-1650/, Antonella and Bob Rosen,5,"181 Main Street, East Hampton, NY 11937",info@bakerhouse1650.com,The Baker House 1650
207-596-7950,http://www.lindseyhouse.com,http://theinnkeeper.com/listing/captain-lindsey-house-inn/, Capts Ken and Ellen Barnes,9,"5 Lindsey St, Rockland, ME 04841",front.desk@lindseyhotel.com,Captain Lindsey House Inn
541 482 1554,http://www.oakhillbb.com,http://theinnkeeper.com/listing/oak-hill-bed-breakfast/, Tom & Pat Howard,6,"2190 Siskiyou Boulevard, Ashland, OR 97520",oakhill@mind.net,Oak Hill Bed & Breakfast
541-488-1082,http://www.mind.net/peerless,http://theinnkeeper.com/listing/peerless-hotel/, Crissy Barnett,6,"243 Fourth Street, Ashland, OR 97520",peerless@mind.net,Peerless Hotel
407-859-1500,http://www.thefloridahotelorlando.com/,http://theinnkeeper.com/listing/the-florida-hotel-and-conference-center/, Staff,511,"1500 SAND LAKE ROAD, Orlando, FL 32809",reservations@thefloridahotelorlando.com,THE FLORIDA HOTEL AND CONFERENCE CENTER
603.236.4501,http://www.blackbearlodgenh.com/,http://theinnkeeper.com/listing/black-bear-lodge/, Innkeepers,,"23 Black Bear Rd., Waterville Valley, NH 03215",info@black-bear-lodge.com,Black Bear Lodge
928.203.9405,http://www.elportalsedona.com/,http://theinnkeeper.com/listing/el-portal-sedona-hotel/," Lynda, Connie and Steve",12,"95 Portal Lane, Sedona, AZ 86336",info@elportalsedona.com,El Portal Sedona Hotel
574-220-6672,http://www.scottishbb.com,http://theinnkeeper.com/listing/scottish-bed-and-breakfast/, Brenda & Homer Miller,4,"2180 Miami Trail, Bremen, IN 46506",info@scottishbb.com,Scottish Bed and Breakfast
603.569.3016,http://www.wolfeboroinn.com/,http://theinnkeeper.com/listing/the-wolfeboro-inn/, Innkeepers,,"90 North Main Street, Wolfeboro, NH 03894",info@wolfeboroinn.com,The Wolfeboro Inn
603.536.2200,http://www.thecmaninn.com/plymouth/,http://theinnkeeper.com/listing/the-common-man-inn/, Innkeepers,,"231 Main Street, Plymouth, NH 03264",info@thecmaninn.com,The Common Man Inn & Spa
(603) 466-3315,http://townandcountryinn.com/,http://theinnkeeper.com/listing/town-country-motor-inn/, Innkeepers,,"20 State RT. 2, Shelburne, NH 03581",info@townandcountryinn.com,Town & Country Motor Inn
603.356.5541,http://www.newenglandinn.com/,http://theinnkeeper.com/listing/the-new-england-inn/, Chet & Crystal Hooper,,"336 Route 16A, Intervale, NH 03845",inquiries@newenglandinn.com,The New England Inn
207.633.5242,http://www.newagenseasideinn.com/,http://theinnkeeper.com/listing/newagen-seaside-inn/, Innkeepers,,"60 Newagen Colony Rd, Boothby Harbor, ME 04576",innkeepers@newageninn.com,Newagen Seaside Inn
978.443.1776,http://www.wayside.org,http://theinnkeeper.com/listing/longfellows-wayside-inn/, Innkeepers,10,"72 Wayside Inn Road, Sudbury, MA 01776",functions@wayside.org,Longfellow's Wayside Inn
(207) 934-9862,http://www.oldcolonialmotel.com/online-reservations/,http://theinnkeeper.com/listing/old-colonial-motel/, The Davis Family,,"61 West Grand Avenue, Old Orchard Beach, ME 04064",info@oldcolonialmotel.com,Old Colonial Motel
207.633.4200,http://oceanpointinn.com/index.html,http://theinnkeeper.com/listing/ocean-point-inn/, Innkeepers,,"191 Shore Road, Boothbay Harbor, ME 04544",opi@oceanpointinn.com,Ocean Point Inn
207.799.3134,https://www.innbythesea.com/,http://theinnkeeper.com/listing/inn-by-the-sea-2/, Innkeepers,,"40 Bowery Beach Road, Cape Elizabeth, ME 04107",info@innbythesea.com,Inn by the Sea
207.865.9377,http://www.harraseeketinn.com,http://theinnkeeper.com/listing/harraseeket-inn/, Innkeepers,,"162 Main Street, Freeport, ME 04032",harraseeke@aol.com,Harraseeket Inn
207.646.7003,http://ogunquit.com/accommodations/gorges-grant-hotel/,http://theinnkeeper.com/listing/gorges-grant-hotel/, Staff,81,"449 Main Street, Ogunquit, ME 03907",gorgesgrant@ogunquit.com,Gorges Grant Hotel
207.967.3331,http://www.colonymaine.com/,http://theinnkeeper.com/listing/colony-hotel/, Innkeepers,,"140 Ocean Avenue, Kennebunkport, ME 04046",reservations@thecolonyhotel.com,Colony Hotel
207.633.5090,http://fishermanswharfinn.com/,http://theinnkeeper.com/listing/fishermans-wharf-inn/, Innkeepers,,"22 Commercial Street Pier #6, Boothbay Harbor, ME 04538",fishermanswharf@clinic.net,Fisherman's Wharf Inn
207.882.9856,http://www.codcoveinn.com/,http://theinnkeeper.com/listing/cod-cove-inn-cottages/, Innkeepers,,"22 Cross Road, Edgecomb, ME 04556",innkeeper@codcoveinn.com  ,Cod Cove Inn & Cottages
860.572.9551,http://,http://theinnkeeper.com/listing/adams-house-2/, Innkeepers,,"382 Cow Hill Road, Mystic, CT 06355",adamshse@aol.com,Adams House
